year,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
1946,零件,一张,机,桌上,坐在,拆卸,石印,贴,点着,房间
1947,零件,一张,水壶,椅子,装有,汽灯,油印机,两张,桌子,地图
1948,零件,桌子,装置,封条,车床,机件,室内,一张,屋顶,大门
1949,收音机,镜,黑板,零件,按装,本子,细纱机,车床,装设,挂图
1950,安装,冰箱,黑板,收音机,办公桌,椅子,仪器,床子,电铃,上放
1951,收音机,马达,粉笔,椅子,电动,零件,装置,无线电,车床,放着
1952,黑板,配,笔记本,幻灯机,收音机,装置,一张,沙发,装在,仪器
1953,电钮,拆开,印刷机,凿岩机,气锤,冲床,几台,零件,活塞,打字机
1954,电话机,电钮,印刷机,装有,收音机,机床,拆开,仪表,沙发,输送带
1955,打字机,电钮,计算机,收音机,仪表,装置,升降机,电话机,银幕,压力机
1956,计算机,打字机,电视机,电钮,自动,模拟,打印,示波器,电话机,收音机
1957,电话机,计算机,电动,打字机,纸带,沙发,抽屉,写字台,办公桌,耳机
1958,收音机,电钮,电话机,模拟,磁带,录音机,装在,电报机,电子计算机,留声机
1959,电钮,打字机,收音机,控制器,装有,按动,黑板,电话机,录音机,校正
1960,电钮,电话机,操纵台,秧箱,按动,开关,光电,收音机,工作台,拆下来
1961,收音机,磁带,耳机,电视机,电钮,拆卸,办公桌,开关,电话机,存贮器
1962,仪表,电钮,收音机,录音机,仪器,开关,拷贝机,计算机,几张,摄影机
1963,照像机,开关,风扇,收音机,电钮,照相机,仪器,机件,机器,一张
1964,半自动,操纵台,电话机,电子计算机,电传机,电钮,改装成,剪断,黑板,收音机
1965,电钮,打字机,示波器,扩大器,收音机,拆卸,箱子,放大器,本子,床头
1966,电钮,桌子,电视机,打字机,收音机,车床,电键,机器,驾驶室,警报器
1967,收音机,刻版,电子,半导体,桌子,机,刷,一台,钢板,车床
1968,机器,收音机,电视机,箱子,零件,机,两台,手术台,刀具,车床
1969,收音机,椅子,笔记本,印刷机,办公桌,桌子,元件,转动,操作,全自动
1970,电话机,电路,机器,拆卸,边光,器,晶体管,床,收音机,测试
1971,电路,机器,熟练地,转动,拆卸,几台,坐在,办公桌,聚精会神,车床
1972,机器,电钮,打字机,床,自动,零件,装上,绞盘,车床,电焊机
1973,工作台,织机,机器,仪表,机子,晶体管,箱子,仪器,图纸,六台
1974,按动,电子计算机,电视机,控制器,电钮,机器,吸尘,拆卸,全套,集成电路
1975,拆卸,图纸,仪器,机床,程序控制,两用,机器,控制器,电子计算机,熟练地
1976,机床,五台,收音机,可控硅,机器,照相,光电,程序控制,集成电路,一台
1977,收音机,电钮,电视机,自动,按动,熟练地,控制器,机床,发射机,计算机
1978,电钮,计算机,收音机,电子计算机,网络,控制室,荧光屏,电路,桌子,排字
1979,荧光屏,打字机,计算机,电钮,按动,计算器,袖珍,电子计算机,办公桌,电视机
1980,袖珍,荧光屏,电话机,电钮,打字机,微型,电子计算机,磁带,办公桌,电脑
1981,键盘,电钮,电子计算机,荧光屏,盒式,复印机,打字机,办公桌,照相机,磁带
1982,电脑,荧光屏,按动,电子计算机,打字机,计算器,电话机,键盘,照相机,摄像机
1983,显示器,打字机,终端,键盘,电脑,计算器,计算机,话筒,电话机,电子计算机
1984,打字机,终端机,电话机,键盘,终端,荧光屏,屏幕,按动,声控,打印机
1985,终端机,打字机,显示器,按钮,键盘,终端,电脑,微型,处理机,按动
1986,打字机,电脑,荧光屏,电话机,终端机,键盘,几台,微型,摄像机,按钮
1987,电脑,荧光屏,终端,按动,终端机,键钮,传真机,屏幕,键盘,按钮
1988,荧光屏,阅读器,打字机,终端,键盘,电话机,电脑,屏幕,微型,打印机
1989,打字机,键盘,磁盘,电脑,终端,扫描器,控制器,传真机,荧光屏,显示器
1990,电脑,终端,荧光屏,打字机,电话机,键盘,贼,录音机,显示器,按键
1991,电传机,电脑,打字机,键盘,电话机,打印机,收音机,摄像机,照相机,传真机
1992,打字机,终端,电脑,显示屏,屏幕,终端机,微机,键盘,电话机,机器
1993,屏幕,电脑,电话机,键盘,终端,录音机,图文,摄像机,数码,显示屏
1994,电脑,键盘,显示器,荧光屏,电话机,显示屏,打印机,调制解调器,打字,摄像机
1995,电话机,电脑,那台,打字机,电脑屏幕,键盘,荧光屏,笔记本,对讲机,屏幕
1996,键盘,屏幕,打印机,电脑,显示屏,电话机,传真机,显示器,磁盘,电视机
1997,键盘,屏幕,触摸式,电脑,收音机,微机,鼠标,话机,触摸屏,电话机
1998,电脑,显示屏,微机,屏幕,打印机,键盘,操作员,显示器,触摸式,传真机
1999,键盘,屏幕,打印机,笔记本电脑,鼠标,电脑,显示屏,微机,键,电视机
2000,电脑,打印机,硬盘,屏幕,鼠标,键盘,耳机,传呼机,触摸式,微机
2001,显示屏,电脑,打印机,键盘,鼠标,触摸式,屏幕,微机,遥控器,台式
2002,电脑,键盘,打印机,鼠标,微机,显示屏,屏幕,触摸屏,台式,数码相机
2003,电脑,键盘,显示屏,屏幕,笔记本电脑,熟练地,电脑屏幕,电话机,微机,大屏幕
2004,电脑,键盘,显示屏,复印机,打印机,屏幕,鼠标,数码相机,遥控器,手提电脑
2005,电脑,键盘,笔记本电脑,微机,屏幕,复印机,传真机,计算机,鼠标,打印机
2006,电脑,遥控器,键盘,鼠标,打印机,显示屏,电视机,屏幕,便携式,硬盘
2007,电脑,显示屏,笔记本电脑,打印机,屏幕,摄像机,电视机,显示器,扫描,沙发
2008,电脑,键盘,屏幕,触摸屏,显示屏,数码相机,摄像头,台式,传真机,打印机
2009,电脑,台式,屏幕,显示屏,摄像头,复印机,电视机,键盘,投影仪,打印机
2010,电脑,打印机,摄像头,笔记本电脑,显示屏,鼠标,键盘,触摸式,屏幕,耳机
2011,电脑,屏幕,笔记本电脑,显示器,计算机,数码相机,照相机,摄像机,键盘,遥控器
2012,电脑,熟练地,平板,照相机,显示屏,打印机,屏幕,笔记本电脑,充电器,投影仪
2013,电脑,屏幕,平板,打印机,显示器,投影仪,触摸屏,桌面,笔记本电脑,电脑屏幕
2014,电脑,平板,屏幕,触摸屏,笔记本电脑,摄像头,手机,微机,按键,数据线
2015,电脑,打印机,平板,屏幕,键盘,遥控器,投影仪,摄像头,硬盘,显示屏
2016,电脑,屏幕,平板,手机,摄像头,按键,显示屏,打印机,笔记本电脑,台式
2017,电脑,屏幕,平板,笔记本电脑,显示屏,打印机,台式,手机,电脑屏幕,摄像头
2018,电脑,平板,打印机,屏幕,摄像头,按键,笔记本电脑,手机,遥控器,显示屏
2019,电脑,平板,屏幕,显示屏,摄像头,手机,触摸屏,音箱,笔记本电脑,鼠标
2020,电脑,打印机,手机,显示屏,摄像头,大屏,平板,屏幕,轻点,按键
2021,电脑,平板,电脑屏幕,显示屏,手机,轻点,笔记本电脑,屏幕,遥控器,打印机
2022,电脑,平板,手机,显示屏,屏幕,笔记本电脑,按键,轻点,打印机,摄像头
2023,电脑,平板,显示屏,屏幕,打印机,扫描仪,手机,电脑屏幕,电子屏,摄像头
